sub-tool?,,,,,,
pkgname,,,,,toolname,prettyname
,,"all: sh -c ""*"", -1: ls -l, 1: toolname, 2: toolname -h, 3: toolname --help",,,,
desktop file,package,desktop file,,,menu name,pkgbuild desc
toolname,pkgname,exec,term,cat,prettyname,description
readmifaresimple,rfidiot,./readmifaresimple.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600,1,bt4,Read MIFARE,ACG
readmifaresimple,rfidiot,./readmifaresimple.py -R RFIDIOt.rfidiot.READER_PCSC,1,bt4,Read MIFARE,PCSC
readtag,rfidiot,./readtag.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600,1,bt4,Read TAG,ACG
readtag,rfidiot,./readtag.py -R RFIDIOt.rfidiot.READER_PCSC,1,bt4,Read TAG,PCSC
testlahf,rfidiot,1,1,bt4,Test ACG LAHF,ACG
unique,rfidiot,./unique.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600,1,bt4,READ WRITE CLONE Unique (EM4x02),ACG
unique,rfidiot,./unique.py -R RFIDIOt.rfidiot.READER_FROSCH -l /dev/ttyUSB0 -s 9600,1,bt4,READ WRITE CLONE Unique (EM4x02),Frosch
rtpbreak,,1,1,bt4,,
rtpflood,,1,1,bt4,,
rtpinject,,-1,1,bt4,,
rtpinsertsound,,1,1,bt4,,
rtpmixsound,,1,1,bt4,,
rww-attack,,1,1,bt4,,
saexploiter,,1,0,bt4,,
saltymd5,,1,1,bt4,,
samdump2,,1,1,bt4,,
sapyto,,1,1,bt4,,
sbd,,2,1,bt4,,
scalpel,,2,1,bt4,,
scapy,,1,1,bt4,,
schnappi-dhcp,,3,1,bt4,,
scrub,,1,1,bt4,,
sctpscan,,1,1,bt4,,
seat,,1,0,bt4,,
sendemail,,1,1,bt4,,
set,,1,1,bt4,Social Engineering Toolkit,
sing,,3,1,bt4,,
sipbomber,,,,bt4,,
sipdump,sipcrack,1,1,bt4,,
sipcrack,,1,1,bt4,,
sipp,,2,1,bt4,,
sip-rogue,,-1,1,bt4,,
sipsak,,1,1,bt4,,
sipscan,,-1,1,bt4,,
sipvicious,,-1,1,bt4,,
skipfish,,2,1,bt4,,
smap,,1,1,bt4,,
smb4k,,1,0,bt4,,
smbclient,,echo use the help command; smbclient,1,bt4,,
smbrelay3,,wine smbrelay3.exe,1?,bt4,,
snmpcheck,,1,1,bt4,,
snmpenum,,1,1,bt4,,
snmpwalk,,1,1,bt4,,
snorby,,,,bt4,,
soapui,,1,0,bt4,,
socat,,socat -?,1,bt4,,
spike,,-1,1,bt4,,
sqlbrute,,2,1,bt4,,
sqlix,,1,1,bt4,,
sqlmap,,2,1,bt4,,
sqlninja,,1,1,bt4,,
sqlsus,,2,1,bt4,,
sshatter,,1,1,bt4,,
ssidsniff,,3,1,bt4,,
ssldump,,2,1,bt4,,
sslscan,,3,1,bt4,,
sslstrip,,2,1,bt4,,
stunnel4,,2,1,bt4,,
swfintruder,,firefox <path>,0,bt4,,
tanya,tbear,1,1,bt4,,
tbsearch,tbear,1,1,bt4,,
tbear,,2,1,bt4,,
tcpick,,3,1,bt4,,
tcpreplay,,2,1,bt4,,
tcptraceroute,,1,1,bt4,,
tctrace,,2,1,bt4,,
teardown,,1,1,bt4,,
testdisk,,1,1,bt4,,
tftp-bruteforce,,1,1,bt4,,
thc-ipv6,,"cd path; find . -perm /u=x,g=x,o=x",1,bt4,,
thc-oraclecrackert,,wine thc-orakelcrackert11g.exe,0,bt4,,
theharvester,,1,1,bt4,,
tinyproxy,,2,1,bt4,,
tkiptun-ng,,1,1,bt4,,
tpcat,,1,0,bt4,,
trid,,trid -?,1,bt4,TrID,
tsocks,,,1,new,,
truecrypt,,,,new,,
truecrypt-cli?,,,,new,,
ucsniff,,2,1,bt4,,
udf,,-1,1,bt4,,
udptunnel,,2,1,bt4,,
unicornscan,,3,1,bt4,,
usbview,,1,0,bt4,,
ussp-push,,1,1,bt4,,
utilman,,1,1,bt4,,
valgrind,,3,1,bt4,,
vinetto,,2,1,bt4,,
vnak,,1,1,bt4,,
vncrack,,1,1,bt4,,
voiper,,-1,1,bt4,,
